date,time,latitude,longitude,scientific_name,common_name
,,26.1894474,-80.09024811,Centropomus undecimalis,Common Snook
6/2/13,23:38:32 UTC,26.798122,-82.276696,Centropomus undecimalis,Common Snook
6/5/13,20:03:51 UTC,26.844044,-82.286104,Centropomus undecimalis,Common Snook
6/7/13,11:31:53 UTC,26.804404,-82.283981,Centropomus undecimalis,Common Snook
6/7/13,11:31:53 UTC,26.804404,-82.283981,Centropomus undecimalis,Common Snook
,,24.824026,-80.813678,Centropomus undecimalis,Common Snook
,,28.798818,-82.587361,Centropomus undecimalis,Common Snook
12/24/13,20:30:29 UTC,28.79006111,-82.60298889,Centropomus undecimalis,Common Snook
,,23.773244,-97.738059,Centropomus undecimalis,Common Snook
5/30/14,19:11:55 UTC,26.775994,-82.267925,Centropomus undecimalis,Common Snook
,,25.076372,-77.304441,Centropomus undecimalis,Common Snook
,,26.468575,-82.106323,Centropomus undecimalis,Common Snook
11/10/14,14:58:14 UTC,27.382633,-82.621086,Centropomus undecimalis,Common Snook
12/6/14,15:31:24 UTC,26.641507,-82.178543,Centropomus undecimalis,Common Snook
,,12.143792,-68.276385,Centropomus undecimalis,Common Snook
,,26.942386,-82.041392,Centropomus undecimalis,Common Snook
,,28.79932,-82.588225,Centropomus undecimalis,Common Snook
6/18/15,09:50:44 UTC,26.742069,-82.258012,Centropomus undecimalis,Common Snook
5/15/15,18:05:35 UTC,28.799329,-82.581911,Centropomus undecimalis,Common Snook
,,25.055745,-80.686341,Centropomus undecimalis,Common Snook
,,26.8195,-80.0415,Centropomus undecimalis,Common Snook
1/15/16,17:05:23 UTC,28.792695,-82.60730833,Centropomus undecimalis,Common Snook
5/16/16,18:19:08 UTC,25.74348572,-80.2103534,Centropomus undecimalis,Common Snook
,,18.362957,-64.925938,Centropomus undecimalis,Common Snook
6/30/15,22:27:04 UTC,22.10621217,-98.19434696,Centropomus undecimalis,Common Snook
6/22/16,13:21:00 UTC,24.82475149,-80.81335258,Centropomus undecimalis,Common Snook
8/8/16,01:36:34 UTC,27.77929942,-82.66643202,Centropomus undecimalis,Common Snook
5/9/16,20:35:39 UTC,21.16386667,-90.04798883,Centropomus undecimalis,Common Snook
8/18/16,00:36:00 UTC,24.8384464,-80.7586809,Centropomus undecimalis,Common Snook
9/3/16,11:38:56 UTC,26.94517174,-80.07408014,Centropomus undecimalis,Common Snook
9/25/16,19:03:00 UTC,27.05552481,-82.44256592,Centropomus undecimalis,Common Snook
1/7/17,19:22:52 UTC,28.78830833,-82.60482,Centropomus undecimalis,Common Snook
7/6/13,18:04:53 UTC,27.16616667,-80.14966667,Centropomus undecimalis,Common Snook
7/21/15,23:35:00 UTC,19.59440204,-96.39163971,Centropomus undecimalis,Common Snook
3/14/17,17:05:00 UTC,34.13182421,-118.0191708,Centropomus undecimalis,Common Snook
3/16/17,19:36:15 UTC,27.79095409,-82.40125673,Centropomus undecimalis,Common Snook
4/22/17,17:19:57 UTC,25.74321167,-80.21183,Centropomus undecimalis,Common Snook
12/31/13,12:48:00 UTC,28.7997993,-82.58016229,Centropomus undecimalis,Common Snook
5/30/17,20:51:00 UTC,28.79932833,-82.58829667,Centropomus undecimalis,Common Snook
5/30/17,20:54:00 UTC,28.79927,-82.588375,Centropomus undecimalis,Common Snook
5/30/17,22:38:00 UTC,28.79929833,-82.588255,Centropomus undecimalis,Common Snook
6/4/17,20:37:50 UTC,27.70128833,-82.738245,Centropomus undecimalis,Common Snook
,,28.86846598,-95.44867694,Centropomus undecimalis,Common Snook
